96105,AGG ASSAULT,120571041,02/26/2012,1359 CAMPBELLTON RD SW,403,Venetian Hills,S,33.71524,-84.43282
265481,LARCENY-NON VEHICLE,162670432,09/23/2016,2115 PIEDMONT RD NE @SQUIRE INN MOTEL NE,212,Morningside/Lenox Park,F,33.81235,-84.36578
52270,AUTO THEFT,130050522,01/05/2013,2424 ADINA DR NE,211,Lindbergh/Morosgo,B,33.82124,-84.36352
159755,AUTO THEFT,121361037,05/15/2012,209 16TH ST NW,501,Atlantic Station,E,33.79018,-84.39464
83501,AUTO THEFT,163520918,12/17/2016,415 ARMOUR DR,212,Morningside/Lenox Park,F,33.81274,-84.36659
37693,AUTO THEFT,133290536,11/25/2013,880 GLENWOOD AVE SE,606,Grant Park,W,33.73991,-84.35917
211948,ROBBERY-PEDESTRIAN,142101835,07/29/2014,2824 MACON DR SE,312,Glenrose Heights,Z,33.67753,-84.38809
32760,LARCENY-NON VEHICLE,113231669,11/19/2011,111 CANDLELIGHT LN SW,407,Baker Hills,H,33.75731,-84.51954
19547,AGG ASSAULT,162780691,10/04/2016,1255 HARDEE ST NE,609,Edgewood,O,33.7552,-84.34654
256956,LARCENY-FROM VEHICLE,132710949,09/28/2013,1903 FORD ST NW,203,Hills Park,D,33.80704,-84.4504
184856,BURGLARY-RESIDENCE,131760696,06/25/2013,186 MOURY AVE SW,305,The Villages at Carver,Y,33.71439,-84.39156
21107,BURGLARY-RESIDENCE,92930690,10/20/2009,960 CONSTITUTION RD SE,308,Norwood Manor,Z,33.69307,-84.35805
86833,LARCENY-FROM VEHICLE,93460622,12/12/2009,JESSE HILL JR DR NE / JOHN WESLEY DOBBS AVE NE,510,Downtown,M,33.75716,-84.38024
21566,AUTO THEFT,92891011,10/16/2009,3799 BROWNS MILL RD SW,312,Glenrose Heights,Z,33.65479,-84.39278
45083,LARCENY-FROM VEHICLE,163332476,11/28/2016,221 PEACHTREE CENTER AVE NE,509,Downtown,M,33.76045,-84.38556
262735,LARCENY-FROM VEHICLE,152680569,09/25/2015,1124 SPRING ST,503,Midtown,E,33.78589,-84.38934
227945,BURGLARY-RESIDENCE,112340949,08/22/2011,2778 VINEYARDS DR SE,312,Rosedale Heights,Z,33.6791,-84.37093
9623,LARCENY-FROM VEHICLE,133001305,10/27/2013,135 W WIEUCA RD NW @CHASTAIN MEMORIAL,202,Chastain Park,A,33.86245,-84.38786
49814,LARCENY-NON VEHICLE,120011049,01/01/2012,133 CARNEGIE WAY NW,508,Downtown,M,33.75809,-84.3881
151103,LARCENY-NON VEHICLE,90960817,04/06/2009,725 PONCE DE LEON AVE NE;,602,Poncey-Highland,N,33.77343,-84.36351
99043,BURGLARY-RESIDENCE,130450875,02/14/2013,2054 JOSEPH E BOONE BLVD NW,108,Dixie Hills,J,33.76328,-84.4548
184978,BURGLARY-RESIDENCE,131750972,06/24/2013,1755 S OLYMPIAN WAY SW,404,Westview,T,33.73557,-84.44519
194225,LARCENY-FROM VEHICLE,161653019,06/13/2016,545 PRYOR ST SW ,303,Mechanicsville,V,33.73951,-84.39456
258933,BURGLARY-NONRES,132501445,09/07/2013,1955 CAMPBELLTON RD SW,408,Venetian Hills,S,33.70864,-84.45303
174979,LARCENY-NON VEHICLE,91221999,05/02/2009,3519 NORTHSIDE PARKWAY,201,West Paces Ferry/Northside,A,33.84907,-84.43003
151324,LARCENY-NON VEHICLE,90940875,04/04/2009,515 PEGG RD,309,Perkerson,X,33.68948,-84.40627
85530,BURGLARY-RESIDENCE,93581463,12/24/2009,1223 DRUID PL NE,608,Candler Park,N,33.76873,-84.34735
108918,LARCENY-FROM VEHICLE,90480919,02/17/2009,331 BROOKS AVE NE,608,Candler Park,N,33.76325,-84.33381
208827,LARCENY-NON VEHICLE,132122309,07/31/2013,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902
106186,LARCENY-NON VEHICLE,170570993,02/26/2017,1634 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70965,-84.37962
59405,BURGLARY-NONRES,160090757,01/09/2016,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68677,-84.49773
78897,LARCENY-FROM VEHICLE,143452270,12/11/2014,2450 CAMELLIA LN NE,211,Lindbergh/Morosgo,B,33.82302,-84.3714
152283,LARCENY-FROM VEHICLE,101450073,05/25/2010,BOULEVARD NE / IRWIN ST NE,604,Sweet Auburn,M,33.75766,-84.37211
206645,LARCENY-NON VEHICLE,122041067,07/22/2012,3730 CARMIA DR SW,414,Princeton Lakes,P,33.65573,-84.5109
74826,BURGLARY-RESIDENCE,133581020,12/24/2013,1424 LANSING ST SE,305,South Atlanta,Y,33.71582,-84.38458
233833,LARCENY-FROM VEHICLE,132382114,08/26/2013,2275 JOSEPH E BOONE BLVD NW ,108,Center Hill,J,33.76632,-84.46151
265000,AUTO THEFT,162730949,09/29/2016,2672 FAIRLANE DR SE,310,Rosedale Heights,Z,33.68181,-84.3801
105203,LARCENY-FROM VEHICLE,160433300,02/12/2016,2967 GRANDVIEW AVE NE,206,Garden Hills,B,33.83563,-84.37594
190339,AUTO THEFT,151782065,06/27/2015,725 ELBERT ST SW,301,Adair Park,V,33.72861,-84.41145
208679,LARCENY-NON VEHICLE,121831067,07/01/2012,3330 PIEDMONT RD NE,208,Buckhead Forest,B,33.84564,-84.37462
125138,LARCENY-FROM VEHICLE,150612961,03/02/2015,1650 CLIFTON TER NE,608,Druid Hills,N,33.77191,-84.33343
24413,LARCENY-NON VEHICLE,100160625,01/16/2010,169 WADLEY ST NW,108,Dixie Hills,J,33.7561,-84.45782
266894,BURGLARY-RESIDENCE,162523206,09/08/2016,1040 HUFF RD NW,203,Blandtown,D,33.78949,-84.42125
249275,LARCENY-FROM VEHICLE,102602228,09/17/2010,4500 ROSWELL RD NE,209,East Chastain Park,B,33.87789,-84.38014
6286,BURGLARY-RESIDENCE,112751723,10/02/2011,1365 HARTFORD AVE SW,301,Capitol View,X,33.71759,-84.41731
56241,RAPE,150180480,01/18/2015, 265 PEACHTREE ST,509,Downtown,M,33.7617,-84.38744
182192,LARCENY-FROM VEHICLE,121742331,06/22/2012,696 CLEBURNE TER NE,602,Poncey-Highland,N,33.77349,-84.3536
170574,LARCENY-FROM VEHICLE,161360419,05/15/2016,2 14TH ST NW,503,Midtown,E,33.78657,-84.38802
182247,BURGLARY-RESIDENCE,121730594,06/21/2012,2889 LEVEL RIDGE RD SE,312,Orchard Knob,Z,33.67609,-84.38013
265487,ROBBERY-PEDESTRIAN,162670693,09/23/2016,3200 LENOX RD NE @LENOX FOREST APTS,210,Pine Hills,B,33.84279,-84.35985
97059,LARCENY-FROM VEHICLE,120440394,02/13/2012,75 MARTIN L KING JR DR SW,511,Downtown,M,33.75119,-84.38996
181351,BURGLARY-RESIDENCE,121821335,06/30/2012,3276 RENAULT RD SE,312,Orchard Knob,Z,33.66572,-84.37795
15766,LARCENY-FROM VEHICLE,152910984,10/18/2015,1322 WESTRIDGE RD SW,408,Venetian Hills,S,33.71914,-84.44655
138961,LARCENY-NON VEHICLE,120932733,04/02/2012,2020 PEACHTREE RD NW,207,,E,33.80983,-84.39307
69279,AUTO THEFT,113571137,12/23/2011,501 CONNELL AVE SW,309,Perkerson,X,33.68327,-84.40662
167512,LARCENY-FROM VEHICLE,151402073,05/20/2015,1061 HOWELL MILL RD NW,501,Home Park,E,33.78382,-84.4112
34605,AGG ASSAULT,123350338,11/30/2012,727 WYLIE ST SE,606,Cabbagetown,N,33.75204,-84.36355
217744,LARCENY-NON VEHICLE,162092328,07/27/2016,2625 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82742,-84.36532
215199,AUTO THEFT,152072338,07/26/2015,3660 MARTIN L KING JR DR SW,407,Adamsville,H,33.76217,-84.50865
133158,LARCENY-FROM VEHICLE,100930986,04/03/2010,35 14TH ST NE,503,Midtown,E,33.78626,-84.38639
103609,BURGLARY-NONRES,150361908,02/05/2015,886 JOSEPH E BOONE BLVD NW,102,Vine City,L,33.76315,-84.4165
58696,AGG ASSAULT,160182096,01/18/2016,250 TED TURNER DR NW,508,Downtown,M,33.76163,-84.38979
34926,LARCENY-FROM VEHICLE,123322290,11/27/2012,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
146041,ROBBERY-PEDESTRIAN,150952365,04/05/2015,466 ATWOOD ST SW,401,West End,T,33.74252,-84.42873
203301,LARCENY-FROM VEHICLE,112030750,07/22/2011,2901 LENOX RD NE,210,Pine Hills,B,33.83372,-84.35619
193057,LARCENY-FROM VEHICLE,161791521,06/27/2016,1432 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75339,-84.43443
4752,LARCENY-NON VEHICLE,112900951,10/17/2011,262 DANIEL AVE SE,611,East Lake,O,33.74565,-84.29898
82075,LARCENY-NON VEHICLE,153370115,12/03/2015,548 NORTHSIDE DR NW,103,English Avenue,L,33.7697,-84.40508
199258,BURGLARY-RESIDENCE,102091566,07/28/2010,107 ANDERSON AVE NW,108,Dixie Hills,J,33.7573,-84.44943
261658,LARCENY-NON VEHICLE,142501853,09/07/2014,902 KIRKWOOD AVE SE,606,Reynoldstown,N,33.75039,-84.35775
235136,AUTO THEFT,132231085,08/11/2013,4398 BOULDER PARK DR SW,407,Wilson Mill Meadows,H,33.74624,-84.52796
55220,LARCENY-NON VEHICLE,150312370,01/31/2015,255 COURTLAND ST NE ,509,Downtown,M,33.76157,-84.38314
168652,LARCENY-FROM VEHICLE,151272355,05/07/2015,95 MARTIN L KING JR DR SW,511,Downtown,M,33.75161,-84.39112
215689,ROBBERY-COMMERCIAL,152000995,07/19/2015,565 JOSEPH E LOWERY BLVD SW,401,West End,T,33.73969,-84.41828
102576,LARCENY-FROM VEHICLE,150521760,02/21/2015,352 WILLIAMS ST NW,508,Downtown,M,33.76467,-84.39038
182282,ROBBERY-RESIDENCE,121731573,06/21/2012,22 LINKWOOD RD NW,111,,I,33.75584,-84.48246
86577,ROBBERY-PEDESTRIAN,93490613,12/15/2009,806 RALPH D ABERNATHY BLVD SW,401,West End,T,33.73794,-84.41433
109243,LARCENY-NON VEHICLE,90441252,02/13/2009,785 LEE ST SW,401,West End,T,33.73386,-84.41422
55054,ROBBERY-PEDESTRIAN,140021940,01/02/2014,680 NEW TOWN CIR SE,308,Thomasville Heights,Z,33.7082,-84.36129
6195,LARCENY-FROM VEHICLE,112762326,10/03/2011,1860 PEACHTREE RD NW,207,Ardmore,E,33.80586,-84.39439
140061,LARCENY-FROM VEHICLE,131091189,04/19/2013,699 PIEDMONT AVE NE,505,Midtown,E,33.77358,-84.38118
107887,AUTO THEFT,90580188,02/27/2009,1245 GLENWOOD AVE SE ,612,East Atlanta,W,33.74016,-84.34689
33057,LARCENY-FROM VEHICLE,113200280,11/16/2011,92 6TH ST NE,505,Midtown,E,33.77742,-84.38417
107606,LARCENY-FROM VEHICLE,170341209,02/03/2017,99 UNIVERSITY AVE SW,304,Peoplestown,V,33.72181,-84.39107
100698,AGG ASSAULT,140512719,02/20/2014,880 GLENWOOD AVE SE,606,Grant Park,W,33.74058,-84.35903
236341,LARCENY-NON VEHICLE,142411609,08/29/2014,824 RALPH D ABERNATHY BLVD SW,401,West End,T,33.73792,-84.41473
176057,BURGLARY-NONRES,101731025,06/22/2010,1385 ENGLISH ST,203,Blandtown,D,33.79327,-84.41983
222319,BURGLARY-RESIDENCE,91930607,07/12/2009,2212 BUTNER RD SW,413,Fairburn,P,33.69188,-84.52077
47716,LARCENY-FROM VEHICLE,120241700,01/24/2012,818 MARIETTA ST NW,504,Marietta Street Artery,E,33.77459,-84.40657
31009,ROBBERY-PEDESTRIAN,103102553,11/06/2010,1196 REGENT ST SW,306,Sylvan Hills,X,33.7006,-84.42532
40901,LARCENY-NON VEHICLE,143211032,11/17/2014,224 BASS ST SW,303,Mechanicsville,V,33.73552,-84.39532
260699,LARCENY-NON VEHICLE,142612698,09/18/2014,303 PEACHTREE CENTER AVE NE,509,Downtown,M,33.76289,-84.38589
168601,AUTO THEFT,151270658,05/07/2015,585 MCDANIEL ST SW,303,Mechanicsville,V,33.73896,-84.40206
22499,BURGLARY-RESIDENCE,92790874,10/06/2009,4336 MOUNT PARAN PKWY NW,202,Mt. Paran Parkway,A,33.87354,-84.41884
86695,LARCENY-NON VEHICLE,93481470,12/14/2009,1575 NORTHSIDE DR NW,207,Loring Heights,E,33.80089,-84.40454
5545,LARCENY-FROM VEHICLE,112821600,10/09/2011,MITCHELL ST SW / MANGUM ST SW,507,Castleberry Hill,M,33.75352,-84.3997
175467,LARCENY-NON VEHICLE,101780929,06/27/2010,306 SKIPPER PL NW,112,Collier Heights,I,33.7823,-84.49186
222691,LARCENY-FROM VEHICLE,91901602,07/09/2009,924 GARRETT ST SE,606,Ormewood Park,W,33.74074,-84.35787
252367,LARCENY-NON VEHICLE,112590611,09/16/2011,2011 PLAZA LN SW,410,Campbellton Road,R,33.70545,-84.45447
257733,LARCENY-NON VEHICLE,132631240,09/20/2013,235 PEACHTREE ST NE,508,Downtown,M,33.74818,-84.39532